item,category,subCategory,price,description
"Pap, Akara, Milk & Sugar",Food,Others,4500,
Pap,Food,Others,2000,
Akara,Food,Others,2500,
Yam,Food,Others,2500,
Goat Meat,Food,Protein,6000,
Beef,Food,Protein,6000,
Chicken,Food,Protein,6000,
Croaker Fish,Food,Protein,8000,
Catfish,Food,Protein,8000,
Snail,Food,Protein,15000,
Assorted,Food,Protein,6000,
Gizzard,Food,Protein,5500,
Egusi,Food,Soup,2500,
Ogbono,Food,Soup,2500,
Okro (Plain),Food,Soup,2500,
Ewedu,Food,Soup,2500,
Edikang-Ikong,Food,Soup,3500,
Efo-Riro,Food,Soup,2500,
Okro (Mixed),Food,Soup,2500,
Eba,Food,Swallow,1500,
Semo,Food,Swallow,1500,
Poundo Yam,Food,Swallow,2000,
Wheat,Food,Swallow,1500,
Amala,Food,Swallow,1500,
Jollof Rice,Food,Rice,3500,
Fried Rice,Food,Rice,4000,
White Rice,Food,Rice,3000,
Basmatti Rice,Food,Rice,5500,
Ofada Rice,Food,Rice,3000,
Coconut Rice,Food,Rice,3500,
Coleslaw,Food,Salad,1500,
Fresh Garden Salad,Food,Salad,2500,
Fawzy Special Salad,Food,Salad,5000,
Greek Salad,Food,Salad,2500,
Chef Salad,Food,Salad,4000,
Sea Food Salad,Food,Salad,10000,
Egg Sauce,Food,Sauce/Egg,2000,
Omelette,Food,Sauce/Egg,2000,
Boiled Egg,Food,Sauce/Egg,2000,
Ofada Sauce,Food,Sauce/Egg,3000,
Pepper Sauce/Stew,Food,Sauce/Egg,1500,
Scramble Egg,Food,Sauce/Egg,3000,
Fried Yam Or Boiled Yam,Food,Others,5000,"Boiled yam or fried yam with eggs of your choice, tea or coffee"
Boiled Or Fried Plantain,Food,Others,2000,
Boiled Or Fried Sweet Potato,Food,Others,1500,
French Fries,Food,Others,4000,
Fresh Or Toasted Bread,Food,Others,5000,"Fresh or toasted bread with eggs of your choice,  tea or coffee"
Paprika Irish Potato,Food,Others,1500,
Yam Porrage,Food,Others,3000,
Ikokore,Food,Others,3000,
Spaghetti (Plain),Food,Pastas,2500,
Spaghetti Bolognese,Food,Pastas,7500,
Spaghetti Arrabbiata,Food,Pastas,4000,
Noodles And Egg,Food,Pastas,4000,
Spaghetti Jollof,Food,Pastas,3500,
Spicy Spaghetti Alfredo,Food,Pastas,7500,
Goat Meat Pepper Soup (with Bread),Food,Starter,7000,
Croaker Fish Pepper Soup (with Bread),Food,Starter,8000,
Chicken Pepper Soup (with Bread),Food,Starter,7000,
Assorted Pepper Soup (with Bread),Food,Starter,7000,
Catfish Pepper Soup (with Bread),Food,Starter,8000,
Gizzard Pepper Soup (with Bread),Food,Starter,6500,
Cream Of Chicken Soup,Food,Starter,4000,
Cream Of Mushroom Soup,Food,Starter,5000,
Cream of chicken soup with sweet corn,Food,Starter,4000,
Tomato Soup,Food,Starter,3500,
French Onion Soup,Food,Starter,4000,
Shrimps in Sweet Chilli Sauce Serve With Chinese Egg Rice,Food,Chinese Cuisine,15000,
Shredded Beef Sauce With Chinese Fried Rice,Food,Chinese Cuisine,15000,
